date,source,server,low,q1,md,q3,high
2025-09-08,op-de8a-conflux,onion,80,170,220,300,490
2025-09-08,op-hk8a,onion,450,560,640,720,960
2025-09-08,op-hk8a-conflux,onion,440,560,650,770,1060
2025-09-08,op-us8a,onion,260,350,400,480,670
2025-09-08,op-us8a-conflux,onion,230,340,390,470,660
2025-09-09,op-de8a,onion,70,150,200,300,510
2025-09-09,op-de8a-conflux,onion,70,160,200,300,510
2025-09-09,op-hk8a,onion,430,570,620,740,980
2025-09-09,op-hk8a-conflux,onion,450,580,640,750,1000
2025-09-09,op-us8a,onion,250,342,400,470,660
2025-09-09,op-us8a-conflux,onion,210,340,390,480,690
2025-09-10,op-de8a,onion,70,140,180,240,390
2025-09-10,op-de8a-conflux,onion,70,150,190,290,490
2025-09-10,op-hk8a,onion,440,610,690,800,1070
2025-09-10,op-hk8a-conflux,onion,460,570,630,750,1010
2025-09-10,op-us8a,onion,240,340,380,460,640
2025-09-10,op-us8a-conflux,onion,200,320,380,467,680
2025-09-11,op-de8a,onion,80,130,160,210,330
2025-09-11,op-de8a-conflux,onion,70,170,250,320,530
2025-09-11,op-hk8a,onion,460,600,670,770,1020
2025-09-11,op-hk8a-conflux,onion,440,580,650,750,1000
2025-09-11,op-us8a,onion,230,342,400,480,680
2025-09-11,op-us8a-conflux,onion,240,340,390,480,690
2025-09-12,op-de8a,onion,80,160,200,310,520
2025-09-12,op-de8a-conflux,onion,70,160,210,310,510
2025-09-12,op-hk8a,onion,460,590,660,740,960
2025-09-12,op-hk8a-conflux,onion,450,550,640,720,970
2025-09-12,op-us8a,onion,260,350,400,490,700
2025-09-12,op-us8a-conflux,onion,230,330,380,480,690
2025-09-13,op-de8a,onion,70,150,190,260,420
2025-09-13,op-de8a-conflux,onion,80,170,220,300,490
2025-09-13,op-hk8a,onion,480,600,680,780,1040
2025-09-13,op-hk8a-conflux,onion,450,570,630,720,940
2025-09-13,op-us8a,onion,240,350,400,480,660
2025-09-13,op-us8a-conflux,onion,230,310,360,460,680
2025-09-14,op-de8a,onion,70,150,190,280,460
2025-09-14,op-de8a-conflux,onion,70,160,210,280,460
2025-09-14,op-hk8a,onion,460,590,660,740,960
2025-09-14,op-hk8a-conflux,onion,450,580,650,750,1000
2025-09-14,op-us8a,onion,240,340,380,440,580
2025-09-14,op-us8a-conflux,onion,250,330,390,510,780
2025-09-15,op-de8a,onion,80,150,180,260,420
2025-09-15,op-de8a-conflux,onion,70,160,200,280,460
2025-09-15,op-hk8a,onion,450,550,630,720,970
2025-09-15,op-hk8a-conflux,onion,440,570,640,730,970
2025-09-15,op-us8a,onion,240,330,380,445,610
2025-09-15,op-us8a-conflux,onion,250,360,450,540,800
2025-09-16,op-de8a,onion,80,150,190,270,440
2025-09-16,op-de8a-conflux,onion,90,170,210,270,420
2025-09-16,op-hk8a,onion,450,560,640,770,1080
2025-09-16,op-hk8a-conflux,onion,450,560,640,730,980
2025-09-16,op-us8a,onion,250,330,370,440,600
2025-09-16,op-us8a-conflux,onion,250,350,410,520,770
2025-09-17,op-de8a,onion,80,150,180,230,350
2025-09-17,op-de8a-conflux,onion,90,170,210,280,440
2025-09-17,op-hk8a,onion,420,560,630,730,980
2025-09-17,op-hk8a-conflux,onion,440,570,650,760,1040
2025-09-17,op-us8a,onion,240,330,380,450,630
2025-09-17,op-us8a-conflux,onion,240,360,430,520,760
2025-09-18,op-de8a,onion,80,160,200,292,490
2025-09-18,op-de8a-conflux,onion,60,160,210,290,480
2025-09-18,op-hk8a,onion,440,590,650,750,990
2025-09-18,op-hk8a-conflux,onion,440,580,655,760,1020
2025-09-18,op-us8a,onion,250,320,370,440,620
2025-09-18,op-us8a-conflux,onion,250,340,390,470,660
2025-09-19,op-de8a,onion,60,150,200,280,470
2025-09-19,op-de8a-conflux,onion,80,170,220,280,440
2025-09-19,op-hk8a,onion,440,600,670,780,1050
2025-09-19,op-hk8a-conflux,onion,450,600,690,810,1120
2025-09-19,op-us8a,onion,230,330,380,460,650
2025-09-19,op-us8a-conflux,onion,260,340,390,470,660
2025-09-20,op-de8a,onion,90,170,250,380,690
2025-09-20,op-de8a-conflux,onion,60,170,220,310,520
2025-09-20,op-hk8a,onion,460,630,710,830,1110
2025-09-20,op-hk8a-conflux,onion,530,660,740,845,1120
2025-09-20,op-us8a,onion,240,340,390,460,640
2025-09-20,op-us8a-conflux,onion,260,350,390,490,700
2025-09-21,op-de8a,onion,70,160,210,302,510
2025-09-21,op-de8a-conflux,onion,90,200,250,360,590
2025-09-21,op-hk8a,onion,480,620,720,790,1010
2025-09-21,op-hk8a-conflux,onion,470,660,740,850,1130
2025-09-21,op-us8a,onion,240,350,390,470,650
2025-09-21,op-us8a-conflux,onion,250,340,380,470,660
2025-09-22,op-de8a,onion,80,170,230,350,620
2025-09-22,op-de8a-conflux,onion,80,180,235,330,550
2025-09-22,op-hk8a,onion,460,650,740,830,1100
2025-09-22,op-hk8a-conflux,onion,460,680,780,900,1230
2025-09-22,op-us8a,onion,240,340,390,450,610
2025-09-22,op-us8a-conflux,onion,230,340,390,460,640
2025-09-23,op-de8a,onion,110,180,220,300,470
2025-09-23,op-de8a-conflux,onion,70,170,240,320,540
2025-09-23,op-hk8a,onion,460,650,710,820,1020
2025-09-23,op-hk8a-conflux,onion,450,620,700,820,1120
2025-09-23,op-us8a,onion,240,330,380,440,600
2025-09-23,op-us8a-conflux,onion,220,340,380,450,610
2025-09-24,op-de8a,onion,80,170,220,310,520
2025-09-24,op-de8a-conflux,onion,70,160,215,310,530
2025-09-24,op-hk8a,onion,430,620,720,810,1090
2025-09-24,op-hk8a-conflux,onion,470,620,710,840,1170
2025-09-24,op-us8a,onion,240,330,380,450,630
2025-09-24,op-us8a-conflux,onion,230,330,370,470,680
2025-09-25,op-de8a,onion,100,200,250,340,550
2025-09-25,op-de8a-conflux,onion,100,190,270,370,640
2025-09-25,op-hk8a,onion,490,692,800,887,1180
2025-09-25,op-hk8a-conflux,onion,480,720,790,890,1140
2025-09-25,op-us8a,onion,250,340,390,460,640
2025-09-25,op-us8a-conflux,onion,240,340,390,460,640
2025-09-26,op-de8a,onion,80,190,230,317,500
2025-09-26,op-de8a-conflux,onion,60,200,260,350,570
2025-09-26,op-hk8a,onion,480,680,800,900,1230
2025-09-26,op-hk8a-conflux,onion,530,690,770,880,1160
2025-09-26,op-us8a,onion,250,340,390,490,710
2025-09-26,op-us8a-conflux,onion,240,340,390,480,690
2025-09-27,op-de8a,onion,90,200,250,340,550
2025-09-27,op-de8a-conflux,onion,90,200,260,330,520
2025-09-27,op-hk8a,onion,460,720,820,910,1160
2025-09-27,op-hk8a-conflux,onion,520,690,780,900,1210
2025-09-27,op-us8a,onion,250,350,390,470,650
2025-09-27,op-us8a-conflux,onion,250,342,400,510,760
2025-09-28,op-de8a,onion,80,190,250,340,560
2025-09-28,op-de8a-conflux,onion,80,180,230,300,480
2025-09-28,op-hk8a,onion,510,710,800,920,1200
